--- Terminal on com7 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp8266_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H

17:11:25 49980,23601,23615,23579,1,0,0,0,1,1,-4,0,0,32298,31818,53818,-web 15ms 
17:11:26 49984,23575,23594,23571,1,1,1,2,0,1,-1,0,0,32202,31818,53677,
17:11:27 49994,23581,23588,23573,0,0,1,1,1,1,-4,0,0,32298,31818,53780,
17:11:28 49992,23571,23591,23571,1,1,0,0,0,1,-4,0,0,32202,31818,53672,
17:11:29 49986,23556,23556,23540,0,1,2,1,2,0,-4,0,0,32298,31818,53684,
17:11:30 49992,23559,23567,23559,2,1,1,1,0,1,-2,0,0,32298,31818,53725,
17:11:31 49989,23590,23590,23568,0,1,1,1,1,1,-4,0,0,32202,31818,53686,-web 16ms 
17:11:32 49988,23595,23595,23588,0,1,0,1,1,1,-4,0,0,32298,31818,53810,
17:11:33 49992,23559,23573,23552,2,0,0,0,2,1,-4,0,0,32202,31818,53625,
17:11:34 49998,23587,23587,23565,1,2,1,1,0,0,-4,0,0,32298,31818,53782,
17:11:35 50000,23582,23592,23576,1,1,0,1,0,2,-4,0,0,32298,31818,53795,-web 17ms 
17:11:36 50000,23560,23570,23552,0,0,0,0,0,0,-4,0,0,32298,31818,53722,
17:11:37 49998,23550,23565,23550,1,2,0,0,1,1,-3,0,0,32202,31818,53613,
17:11:38 49992,23531,23541,23531,1,0,0,1,1,1,-3,0,0,32202,31818,53544,
17:11:39 49988,23537,23556,23532,1,1,1,0,2,0,-3,0,0,32202,31723,53468,
17:11:40 49982,23566,23575,23562,0,0,1,1,1,0,-4,0,0,32202,31818,53632,-web 16ms 
17:11:41 49978,23557,23557,23530,0,2,0,1,2,0,-2,0,0,32202,31818,53573,
17:11:42 49974,23566,23569,23559,1,2,0,0,1,1,-7,0,0,32298,31723,53615,
17:11:43 49984,23595,23595,23578,1,0,0,1,0,1,-6,0,0,32202,31818,53697,
17:11:44 49974,23602,23607,23602,0,1,1,1,0,1,-3,0,0,32202,31818,53734,
17:11:45 49974,23574,23574,23563,0,1,0,1,1,1,-5,0,0,32202,31818,53632,-web 17ms 
17:11:46 49980,23590,23590,23561,1,0,0,1,1,1,-3,0,0,32202,31818,53670,
17:11:47 49982,23589,23589,23575,3,1,2,1,0,1,-4,0,0,32202,31818,53687,
17:11:48 49972,23573,23585,23572,1,0,0,2,0,1,-2,0,0,32202,31723,53557,
17:11:49 49982,23569,23569,23557,0,2,1,1,1,2,0,0,0,32202,31818,53632,
17:11:50 49982,23597,23600,23582,1,0,0,1,0,1,-2,0,0,32298,31818,53806,-web 16ms 
17:11:51 49980,23560,23594,23560,2,0,2,0,1,0,-5,0,0,32202,31818,53642,
17:11:52 49988,23549,23549,23524,0,2,0,0,0,0,-4,0,0,32202,31723,53461,
17:11:53 49989,23576,23580,23562,0,1,0,0,0,1,-3,0,0,32202,31818,53654,
17:11:54 49980,23539,23568,23539,3,0,2,1,0,1,-3,0,0,32202,31723,53483,
17:11:55 49994,23555,23555,23528,1,1,0,1,0,1,-5,0,0,32202,31723,53484,-web 16ms 
17:11:56 50006,23582,23590,23567,0,2,2,0,1,0,-3,0,0,32298,31818,53791,
17:11:57 50004,23565,23586,23562,1,1,0,2,0,1,-3,0,0,32202,31818,53667,
17:11:58 50002,23538,23544,23537,0,2,0,1,1,1,-2,0,0,32202,31818,53572,
17:11:59 50004,23555,23555,23535,0,0,1,1,1,0,-3,0,0,32298,31723,53598,
17:12:00 49996,23565,23565,23551,2,1,0,1,0,1,-4,0,0,32202,31818,53626,-web 16ms 
17:12:01 49989,23545,23561,23537,2,1,2,2,1,1,-4,0,0,32202,31818,53585,
